id,year,make,model,car_name,weight,weight_distribution,drive_type,pi_class,default_pi,horsepower,torque,displacement,gear_count,front_tire_width,rear_tire_width,rarity,value,boost,stats
alfa-romeo-sz-sprint-zagato-1990,1990,Alfa Romeo,SZ Sprint Zagato,1990 Alfa Romeo SZ Sprint Zagato,2778,56,RWD,D,369,207,181,,,,,,,,"{""speed"":5.7,""handling"":4.7,""acceleration"":6.4,""launch"":"""",""braking"":4.4,""offroad"":""""}"
alfa-romeo-gtv-6-1986,1986,Alfa Romeo,GTV-6,1986 Alfa Romeo GTV-6,2840,51,RWD,E,276,155,157,2500,,,,,,,"{""speed"":4.9,""handling"":4,""acceleration"":5.7,""launch"":"""",""braking"":3.9,""offroad"":""""}"
alfa-romeo-spider-quadrifoglio-verde-1986,1986,Alfa Romeo,Spider Quadrifoglio Verde,1986 Alfa Romeo Spider Quadrifoglio Verde,2549,56,RWD,E,259,115,119,1962,,,,,,,"{""speed"":4.6,""handling"":4.2,""acceleration"":5.3,""launch"":"""",""braking"":3.9,""offroad"":""""}"
alfa-romeo-montreal-1970,1970,Alfa Romeo,Montreal,1970 Alfa Romeo Montreal,2810,55,RWD,E,288,200,174,2600,,,,,,,"{""speed"":5.5,""handling"":4,""acceleration"":5.9,""launch"":"""",""braking"":3.7,""offroad"":""""}"
alfa-romeo-33-stradale-1968,1968,Alfa Romeo,33 Stradale,1968 Alfa Romeo 33 Stradale,1543,40,RWD,A,707,245,148,1995,,,315,Legendary,15000000,,"{""speed"":6.2,""handling"":4.4,""acceleration"":5.7,""launch"":5.7,""braking"":3.6,""offroad"":5}"
alfa-romeo-giulia-sprint-gta-stradale-1965,1965,Alfa Romeo,Giulia Sprint GTA Stradale,1965 Alfa Romeo Giulia Sprint GTA Stradale,1676,54,RWD,D,486,115,105,1570,,,165,Rare,300000,,"{""speed"":4,""handling"":3.7,""acceleration"":3.7,""launch"":3.2,""braking"":2.8,""offroad"":5.3}"
alfa-romeo-giulia-tz2-1965,1965,Alfa Romeo,Giulia TZ2,1965 Alfa Romeo Giulia TZ2,1367,54,RWD,B,641,170,130,1570,,,245,Legendary,4000000,,"{""speed"":5.5,""handling"":3.9,""acceleration"":4.1,""launch"":3.4,""braking"":3.4,""offroad"":5.3}"
alfa-romeo-giulietta-sprint-veloce-1958,1958,Alfa Romeo,Giulietta Sprint Veloce,1958 Alfa Romeo Giulietta Sprint Veloce,1874,54,RWD,E,228,90,97,,,,155,,,,"{""speed"":4.1,""handling"":3.6,""acceleration"":5.2,""launch"":"""",""braking"":3.3,""offroad"":""""}"
alfa-romeo-158-1950,1950,Alfa Romeo,158,1950 Alfa Romeo 158,1568,52,RWD,B,574,384,286,,,,,,,,"{""speed"":6.1,""handling"":4.9,""acceleration"":8.2,""launch"":"""",""braking"":4.5,""offroad"":""""}"
alfa-romeo-p3-1934,1934,Alfa Romeo,P3,1934 Alfa Romeo P3,1653,50,RWD,B,626,285,300,3165,,,145,Legendary,10000000,,"{""speed"":6.6,""handling"":5,""acceleration"":5.6,""launch"":7.1,""braking"":4.9,""offroad"":""""}"
alfa-romeo-8c-2300-spider-1932,1932,Alfa Romeo,8C 2300 Spider,1932 Alfa Romeo 8C 2300 Spider,2185,52,RWD,E,290,155,173,,,,,,,,"{""speed"":4.4,""handling"":4.2,""acceleration"":6.5,""launch"":"""",""braking"":4.2,""offroad"":""""}"
alpine-a110-2017,2017,Alpine,A110,2017 Alpine A110,2432,44,RWD,B,694,248,236,1798,,,235,Epic,67500,,"{""speed"":6,""handling"":6.4,""acceleration"":5.4,""launch"":5.7,""braking"":4.2,""offroad"":4.2}"
alpine-a110-1600s-1973,1973,Alpine,A110 1600s,1973 Alpine A110 1600s,1576,40,RWD,C,550,123,106,1605,,,165,Rare,98000,,"{""speed"":5,""handling"":4.4,""acceleration"":4.1,""launch"":3.1,""braking"":3,""offroad"":5.3}"
alumicraft-6165-trick-truck-2022,2022,Alumicraft,#6165 Trick Truck,2022 Alumicraft #6165 Trick Truck,5750,47,RWD,C,596,430,430,6162,,,315,Epic,500000,,"{""speed"":4.4,""handling"":3,""acceleration"":3.6,""launch"":2.6,""braking"":5,""offroad"":9.3}"
alumicraft-122-class-1-buggy-2021,2021,Alumicraft,#122 Class 1 Buggy,2021 Alumicraft #122 Class 1 Buggy,3750,38,RWD,B,689,495,450,6162,,,315,Epic,300000,,"{""speed"":4.9,""handling"":2.8,""acceleration"":6.4,""launch"":5.3,""braking"":5.3,""offroad"":9.2}"
alumicraft-class-10-race-car-2015,2015,Alumicraft,Class 10 Race Car,2015 Alumicraft Class 10 Race Car,2200,45,RWD,B,642,196,190,2384,,,265,Epic,300000,,"{""speed"":4.4,""handling"":3.8,""acceleration"":5,""launch"":4.1,""braking"":4.8,""offroad"":10}"
alumicraft-class-10-race-car-forza-edition-2015,2015,Alumicraft,Class 10 Race Car Forza Edition,2015 Alumicraft Class 10 Race Car Forza Edition,2200,45,RWD,B,679,196,190,2384,,,265,FE,350000,Destruction,"{""speed"":5.3,""handling"":6.5,""acceleration"":6.8,""launch"":8.1,""braking"":6.3,""offroad"":""""}"
amc-pacer-x-1977,1977,AMC,Pacer X,1977 AMC Pacer X,3425,55,RWD,E,209,120,212,4229,,,,,,,"{""speed"":4.3,""handling"":3.5,""acceleration"":4.5,""launch"":5.1,""braking"":3.3,""offroad"":""""}"
amc-gremlin-x-1973,1973,AMC,Gremlin X,1973 AMC Gremlin X,2840,54,RWD,D,403,150,245,4971,,,205,Common,35000,,"{""speed"":4,""handling"":3.9,""acceleration"":3.4,""launch"":3.4,""braking"":2.3,""offroad"":5.2}"
amc-javelin-amx-1971,1971,AMC,Javelin AMX,1971 AMC Javelin AMX,3445,53,RWD,D,493,330,430,3445,,,215,Rare,250000,,"{""speed"":4.5,""handling"":3.6,""acceleration"":3.4,""launch"":2.8,""braking"":2.2,""offroad"":5.2}"
amc-rebel-the-machine-1970,1970,AMC,"Rebel ""The Machine""","1970 AMC Rebel ""The Machine""",3650,55,RWD,C,531,340,427,6392,,,215,Rare,250000,,"{""speed"":5.1,""handling"":3.8,""acceleration"":3.6,""launch"":2.9,""braking"":2.5,""offroad"":5.8}"
amg-transport-dynamics-m12s-warthog-cst-2554,2554,AMG Transport Dynamics,M12S Warthog CST,2554 AMG Transport Dynamics M12S Warthog CST,5071,54,AWD,A,719,720,855,8003,,,420,Legendary,850000,,"{""speed"":4.2,""handling"":4,""acceleration"":8.6,""launch"":10,""braking"":6.7,""offroad"":10}"
apollo-intensa-emozione-2018,2018,Apollo,Intensa Emozione,2018 Apollo Intensa Emozione,2756,45,RWD,S2,963,780,560,6300,,,325,Legendary,1500000,,"{""speed"":7.4,""handling"":10,""acceleration"":7.7,""launch"":8.4,""braking"":10,""offroad"":3.9}"
apollo-intensa-emozione-welcome-pack-2018,2018,Apollo,Intensa Emozione 'Welcome Pack',2018 Apollo Intensa Emozione 'Welcome Pack',2480,45,RWD,S2,998,930,634,6300,,,,Common,1500000,,"{""speed"":7.6,""handling"":10,""acceleration"":7.9,""launch"":8.6,""braking"":10,""offroad"":3.8}"
ariel-nomad-2016,2016,Ariel,Nomad,2016 Ariel Nomad,1477,38,RWD,A,711,236,221,2354,,,235,Rare,93000,,"{""speed"":5.2,""handling"":4.7,""acceleration"":6.5,""launch"":7.2,""braking"":4.2,""offroad"":8.1}"
ariel-atom-500-v8-2013,2013,Ariel,Atom 500 V8,2013 Ariel Atom 500 V8,1433,36,RWD,S2,924,475,268,2970,,,245,Epic,200000,,"{""speed"":6.3,""handling"":8.8,""acceleration"":7.8,""launch"":8.5,""braking"":7.2,""offroad"":3.9}"
ascari-kz1r-2012,2012,Ascari,KZ1R,2012 Ascari KZ1R,2976,46,RWD,S1,829,520,398,4948,,,335,Epic,250000,,"{""speed"":7.9,""handling"":7.3,""acceleration"":5.9,""launch"":5.2,""braking"":5.9,""offroad"":4.9}"
aston-martin-valkyrie-2023,2023,Aston Martin,Valkyrie,2023 Aston Martin Valkyrie,2976,40,RWD,S2,978,1140,663,6500,,2653520,3253021,Legendary,3250000,,"{""speed"":9.2,""handling"":8.8,""acceleration"":7.4,""launch"":8,""braking"":10,""offroad"":4.7}"
aston-martin-valkyrie-amr-pro-2022,2022,Aston Martin,Valkyrie AMR Pro,2022 Aston Martin Valkyrie AMR Pro,2370,42,RWD,S2,998,800,436,6499,,2653521,3053021,Legendary,4210000,,"{""speed"":7.3,""handling"":9.4,""acceleration"":7.7,""launch"":8.3,""braking"":10,""offroad"":4.9}"
aston-martin-dbx-2021,2021,Aston Martin,DBX,2021 Aston Martin DBX,4949,54,AWD,A,732,543,516,3982,,,325,Rare,200000,,"{""speed"":6.5,""handling"":5.3,""acceleration"":5.9,""launch"":6.1,""braking"":5.2,""offroad"":6.3}"
aston-martin-dbs-superleggera-2019,2019,Aston Martin,DBS Superleggera,2019 Aston Martin DBS Superleggera,3966,51,RWD,S1,835,715,663,5204,,,305,Epic,350000,,"{""speed"":7.8,""handling"":6.6,""acceleration"":5.8,""launch"":6.2,""braking"":6.9,""offroad"":4.5}"
aston-martin-valhalla-concept-car-2019,2019,Aston Martin,Valhalla Concept Car,2019 Aston Martin Valhalla Concept Car,3097,41,AWD,S2,959,1042,995,2990,,,345,Legendary,1150000,,"{""speed"":8.5,""handling"":9.1,""acceleration"":10,""launch"":10,""braking"":9.4,""offroad"":4.6}"
aston-martin-vantage-2019,2019,Aston Martin,Vantage,2019 Aston Martin Vantage,3497,50,RWD,S1,801,503,505,3982,,,295,Epic,430000,,"{""speed"":7,""handling"":6.7,""acceleration"":6,""launch"":6.4,""braking"":6.1,""offroad"":4.6}"
aston-martin-7-aston-martin-racing-v12-vantage-gt3-2017,2017,Aston Martin,#7 Aston Martin Racing V12 Vantage GT3,2017 Aston Martin #7 Aston Martin Racing V12 Vantage GT3,2950,52,RWD,R,833,600,516,,,,,,,,"{""speed"":6.7,""handling"":7,""acceleration"":8.9,""launch"":3.4,""braking"":6.9,""offroad"":""""}"
aston-martin-db11-2017,2017,Aston Martin,DB11,2017 Aston Martin DB11,4134,51,RWD,A,787,608,516,5204,,,295,Epic,300000,,"{""speed"":7.3,""handling"":6.5,""acceleration"":5.7,""launch"":6.1,""braking"":6.1,""offroad"":4.7}"
aston-martin-db11-preorder-car-2017,2017,Aston Martin,DB11 PreOrder Car,2017 Aston Martin DB11 PreOrder Car,2866,51,RWD,S1,900,800,646,5204,,,,Epic,300000,,"{""speed"":8.9,""handling"":8.2,""acceleration"":6.7,""launch"":8.3,""braking"":8.7,""offroad"":""""}"
aston-martin-vanquish-zagato-coupe-2017,2017,Aston Martin,Vanquish Zagato Coupe,2017 Aston Martin Vanquish Zagato Coupe,3891,51,RWD,S1,803,595,464,5935,,,305,Epic,60000,,"{""speed"":7.4,""handling"":6.1,""acceleration"":5.9,""launch"":6.1,""braking"":6.9,""offroad"":5.3}"
aston-martin-vulcan-amr-pro-2017,2017,Aston Martin,Vulcan AMR Pro,2017 Aston Martin Vulcan AMR Pro,2998,54,RWD,S2,953,820,590,6949,,,345,Legendary,2000000,,"{""speed"":7.7,""handling"":9.6,""acceleration"":6.5,""launch"":7,""braking"":10,""offroad"":3.2}"
aston-martin-vantage-gt12-2015,2015,Aston Martin,Vantage GT12,2015 Aston Martin Vantage GT12,3450,51,RWD,S1,829,593,461,5935,,,325,Epic,400000,,"{""speed"":6.7,""handling"":8,""acceleration"":5.9,""launch"":6.1,""braking"":8.1,""offroad"":4.4}"
aston-martin-vulcan-2016,2016,Aston Martin,Vulcan,2016 Aston Martin Vulcan,2998,54,RWD,S2,954,820,590,6949,,,345,Legendary,1500000,,"{""speed"":8.1,""handling"":10,""acceleration"":7.5,""launch"":9,""braking"":10,""offroad"":""""}"
aston-martin-vulcan-forza-edition-2016,2016,Aston Martin,Vulcan Forza Edition,2016 Aston Martin Vulcan Forza Edition,2998,54,RWD,S2,955,820,590,6949,,,345,FE,1750000,Clean Skills,"{""speed"":8.1,""handling"":10,""acceleration"":7.5,""launch"":9,""braking"":10,""offroad"":""""}"
aston-martin-v12-vantage-s-2013,2013,Aston Martin,V12 Vantage S,2013 Aston Martin V12 Vantage S,3671,52,RWD,A,796,565,457,5935,,,295,Epic,240000,,"{""speed"":7.8,""handling"":6.2,""acceleration"":5.4,""launch"":5.7,""braking"":6.4,""offroad"":4.4}"
aston-martin-v12-zagato-2012,2012,Aston Martin,V12 Zagato,2012 Aston Martin V12 Zagato,3704,51,RWD,A,622,510,420,5935,,,,,,,"{""speed"":7.4,""handling"":5.4,""acceleration"":7.9,""launch"":"""",""braking"":5.3,""offroad"":""""}"
aston-martin-vanquish-2012,2012,Aston Martin,Vanquish,2012 Aston Martin Vanquish,3834,51,RWD,S1,802,565,457,5935,,,305,Epic,348000,,"{""speed"":7.9,""handling"":7,""acceleration"":6.7,""launch"":8.3,""braking"":7.5,""offroad"":""""}"
aston-martin-vanquish-ltd-ed-2012,2012,Aston Martin,Vanquish (Ltd. Ed.),2012 Aston Martin Vanquish (Ltd. Ed.),3417,,RWD,,,620,500,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-virage-2012,2012,Aston Martin,Virage,2012 Aston Martin Virage,3935,,RWD,A,555,490,420,6000,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-009-aston-martin-racing-amr-one-2011,2011,Aston Martin,#009 Aston Martin Racing AMR One,2011 Aston Martin #009 Aston Martin Racing AMR One,1984,,RWD,R1,976,540,435,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-6-muscle-milk-aston-martin-lola-2011,2011,Aston Martin,#6 Muscle Milk Aston Martin Lola,2011 Aston Martin #6 Muscle Milk Aston Martin Lola,1984,,RWD,R1,989,653,516,5900,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-cygnet-2011,2011,Aston Martin,Cygnet,2011 Aston Martin Cygnet,2178,,FWD,F,157,97,82,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-v12-zagato-villa-d-este-2011,2011,Aston Martin,V12 Zagato (Villa d'Este),2011 Aston Martin V12 Zagato (Villa d'Este),3197,51,RWD,S1,842,510,420,5935,,,,,,,"{""speed"":7.6,""handling"":7.5,""acceleration"":8.3,""launch"":8.4,""braking"":9,""offroad"":""""}"
aston-martin-one-77-2010,2010,Aston Martin,One-77,2010 Aston Martin One-77,3307,49,RWD,S1,843,750,553,7312,,,335,Legendary,1400000,,"{""speed"":8,""handling"":6.8,""acceleration"":6.2,""launch"":6.7,""braking"":6.9,""offroad"":4.5}"
aston-martin-rapide-2010,2010,Aston Martin,Rapide,2010 Aston Martin Rapide,4299,51,RWD,A,517,470,442,5935,,,,,,,"{""speed"":8.6,""handling"":5.2,""acceleration"":7,""launch"":7.2,""braking"":5.1,""offroad"":""""}"
aston-martin-v12-vantage-2010,2010,Aston Martin,V12 Vantage,2010 Aston Martin V12 Vantage,3704,51,RWD,A,561,511,420,5900,,,,,,,"{""speed"":8.2,""handling"":5.7,""acceleration"":7.7,""launch"":7.5,""braking"":5.6,""offroad"":""""}"
aston-martin-007-aston-martin-lola-2009,2009,Aston Martin,#007 Aston Martin Lola,2009 Aston Martin #007 Aston Martin Lola,1984,45,RWD,R1,989,653,516,5900,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-008-bell-motorsports-dbr9-2008,2008,Aston Martin,#008 Bell Motorsports DBR9,2008 Aston Martin #008 Bell Motorsports DBR9,2425,,RWD,R2,826,625,,,,,,,,,"{""speed"":6.7,""handling"":7.5,""acceleration"":8.3,""launch"":7.1,""braking"":7.6,""offroad"":""""}"
aston-martin-009-aston-martin-racing-dbr9-2008,2008,Aston Martin,#009 Aston Martin Racing DBR9,2008 Aston Martin #009 Aston Martin Racing DBR9,2425,,RWD,R2,825,625,550,,,,,,,,"{""speed"":"""",""handling"":"""",""acceleration"":"""",""launch"":"""",""braking"":"""",""offroad"":""""}"
aston-martin-dbs-2008,2008,Aston Martin,DBS,2008 Aston Martin DBS,3737,53,RWD,A,746,510,420,5935,,2453520,2953020,Epic,325000,,"{""speed"":7.3,""handling"":5.4,""acceleration"":5.1,""launch"":4.8,""braking"":6.2,""offroad"":5.2}"
