S,Year Makes: 134 Models: 902,Nickname,Ordinal,Year,Makes: 134,Models: 902,Special Access,DLC Pack,Special Reward/Gift,Direct Access,Car Value,Rarity,FE Boost,Car Type,Spec,Class,PI,S,H,A,L,B,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire,R Tire,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FH5 Debut,Forza Debut,Latest game,New to Forza,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2010 Acura TSX V6,,,2010,Acura,TSX V6,,,,,,,,Sedan,Factory,C,375,,,,,,,280,354,3664,13.09,,3500,,V,6,F,FWD,,,,,,,,N. America,U.S.,,,4,L,4,,,6.100,,,170.2,,,,,,11649,,03-Jul-10,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2009 Acura #66 de Ferran Motorsports ARX-02a,,,2009,Acura,#66 de Ferran Motorsports ARX-02a,,,,,,,,P1 Racing,Race,R1,990,,,,,,,625,375,1984,3.17,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,2.800,,,211.1,,,,,,11456,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2009 Acura #66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,,2009,Acura,#66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,,,,,,,P1 Racing,Livery,R1,989,,,,,,,625,375,1984,3.17,,4000,NA,V,8,M,RWD,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,2.800,,,211.1,,,,,,11730,,14-Oct-11,FM4,FM4,,,,,,,,,FM4,,,,1,360,0
FALSE,2008 Acura #15 Lowe's Fernandez ARX-01b,,,2008,Acura,#15 Lowe's Fernandez ARX-01b,,,,,,,,P2,Race,R1,954,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.100,,,195.9,,,,,,11453,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Acura #26 Andretti-Green Racing ARX-01b,,,2008,Acura,#26 Andretti-Green Racing ARX-01b,,,,,,,,P2,Livery,R1,954,8.1,9.8,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.100,,,195.9,,,,,,11454,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Acura #66 de Ferran Motorsports ARX-01b,,,2008,Acura,#66 de Ferran Motorsports ARX-01b,,,,,,,,P2,Livery,R1,954,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.100,,,195.9,,,,,,11455,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2006 Acura RL A-Spec,,,2006,Acura,RL A-Spec,,,,,,,,,Factory,D,399,,,,,,,,,,#DIV/0!,,,,,,F,AWD,,,,,,,,N. America,U.S.,,,4,L,4,,,,,,,,,,,,11251,,29-May-07,FM2,FM2,,,,,,,,,,,FM2,,1,360,0
FALSE,2005 Acura Forza Motorsport NSX,,,2005,Acura,Forza Motorsport NSX,DLC promo,,,,,,,Coupe,Upgraded,R3,711,8.2,6.4,8.1,7.7,6.4,,561,387,2575,4.59,,,,,6,M,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11457,,27-Oct-09,FM3,FM3,,,,,,,,,,DLC,,,1,360,0
FALSE,2005 Acura NSX,,,2005,Acura,NSX,,,,,,,,Sports,Factory,B,476,,,,,,,290,225,3100,10.69,,3179,NA,V,6,M,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,5.000,,,179.8,,,,,,11004,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2003 Acura 3.2 CL Type-S,,,2003,Acura,3.2 CL Type-S,,,,,,,,,Factory,D2,,5.3,4.2,4.8,,4.1,,260,232,3446,13.25,62,3200,PDS,V,6,F,FWD,,,,,,,,Asia,Japan,,,2,L,4,,,,,,,,,,,,11002,,03-May-05,FM1,FM1,,,,,,,,,,,,FM1,1,360,0
FALSE,2002 Acura #42 Realtime Racing NSX,#42 Acura NSX,,2002,Acura,#42 Realtime Racing NSX,,,,,,,,GT3,Race,S,657,6.3,6.6,7.3,7.4,6.6,,362,269,2524,6.97,,,,,6,M,RWD,,275,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11001,,03-May-05,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360,0
FALSE,2002 Acura RSX Type-S,Acura RSX,422,2002,Acura,RSX Type-S,Autoshow,,,,"25,000",Common,,Retro Hot Hatch,Factory,C,585,5.6,5.1,3.9,3.0,3.5,5.3,200,142,2820,14.10,61,1998,NA,Inline,4,F,FWD,,205,Both,Sport,300,"T, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.717,18.019,15.200,148.4,143.8,362.1,0.90,0.92,11.302,11006,05-Nov-21,03-May-05,FH5,FM1,FH5,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,FM3,FM2,FM1,11,XBO,1
FALSE,2001 Acura Integra Type-R,Acura Integra,368,2001,Acura,Integra Type-R,Autoshow,,,,"25,000",Common,,Retro Hot Hatch,Factory,C,596,5.6,5.1,3.9,3.1,3.4,5.1,195,130,2639,13.53,62,1797,NA,Inline,4,F,FWD,,195,Both,Forza,"212, 300","T, PDS, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.216,14.716,14.783,155.5,145.9,366.1,0.90,0.91,8.500,11003,05-Nov-21,03-May-05,FH5,FM1,FH5,FH4,FM7,FH3,FM6,DLC,FM5,,FM4,FM3,FM2,FM1,11,XBO,1
FALSE,2000 Acura VIS Racing Integra Type-R,VIS Integra,,2000,Acura,VIS Racing Integra Type-R,,,,,,,,,Race,C,507,,,,,,,225,145,2425,10.78,62,,NA,,,F,FWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11007,,03-May-05,FM2,FM1,,,,,,,,,,,FM2,FM1,2,360,0
FALSE,1997 Acura NSX,,,1997,Acura,NSX,,,,,,,,Sports,Factory,B,471,,,,,,,276,224,2998,10.86,,3200,NA,V,6,M,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.900,,,173.4,,,,,,11005,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2020 Alejandra's Flatbed Truck,,,2020,Alejandra's,Flatbed Truck,Horizon Promo,,,,,,,,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13201,,04-Nov-21,FH5,FH5,HP,,,,,,,,,,,,1,XBO,0
FALSE,2018 Alfa Romeo Stelvio Quadrifoglio,Alfa Romeo Stelvio,,2018,Alfa Romeo,Stelvio Quadrifoglio,DLC store,,,,"80,000",Common,,Sports Utility Heroes,Factory,A,752,7.2,5.9,9.0,10.0,6.3,,506,442,4361,8.62,50,2891,TT,V,6,F,AWD,,285,Both,Forza,"506, 602, 562v8, 660",none,eng,Europe,Italy,,,5,L,4,,,3.900,9.500,,180.2,222.9,437.2,0.88,0.88,5.600,13034,,09-Nov-18,FH4,FH4,,DLC,,,,,,,,,,,1,XBO,0
FALSE,2017 Alfa Romeo Giulia Quadrifoglio,Alfa Giulia '17,2542,2017,Alfa Romeo,Giulia Quadrifoglio,Autoshow,Series 24 cu,,,"120,000",Rare,,Super Saloons,Factory,A,775,7.3,6.4,5.9,4.9,6.7,5.0,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,,285,Both,Forza,"660, 805, 562V8",none,eng,Europe,Italy,,,4,L,4,,,3.800,8.684,14.783,198.8,97.3,235.2,1.07,1.14,4.884,12844,15-Aug-23,07-Nov-17,FH5,FM7,cu,FH4,DLC,,,,,,,,,,3,XBO,1
FALSE,2016 Alfa Romeo Giulia Quadrifoglio Forza Edition,Alfa Giulia FE,,2016,Alfa Romeo,Giulia Quadrifoglio Forza Edition,Exclusive,,,,"370,000",FE,Event Influence,Super Saloons,Upgraded,S1,812,7.7,7.5,7.3,8.9,8.1,,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,,285,Both,Forza,"506, 602, 660",none,eng,Europe,Italy,,,4,L,4,,,4.400,10.600,,161.3,143.8,353.6,0.96,1.03,6.200,12952,,28-Sep-18,FH4,FH4,,FE,,,,,,,,,,,1,XBO,0
FALSE,2014 Alfa Romeo 4C,Alfa Romeo 4C,2038,2014,Alfa Romeo,4C,"Backstage, Seasonal",Series 24 cu,,,"250,000",Rare,,Modern Sports Cars,Factory,A,755,5.9,5.7,4.8,7.0,5.2,5.0,240,238,2077,8.65,41,1742,T,Inline,4,M,RWD,,235,Both,"Street, Safety Lights","300, 375, 475(3L)",none,eng,Europe,Italy,,,2,L,4,,,4.400,10.617,,161.2,122.4,301.2,1.02,1.12,6.217,12186,24-Aug-23,04-Nov-14,FH5,FH2,cu,FH4,FM7,FH3,FM6,DLC,,,,,,,6,XBO,1
FALSE,2011 Alfa Romeo Giulietta Quadrifoglio Verde,Alfa Giulietta,,2011,Alfa Romeo,Giulietta Quadrifoglio Verde,,,,,,,,Modern Hot Hatch,Factory,D,391,5.7,4.5,6.7,,4.2,,231,251,2910,12.60,63,1742,T,Inline,4,F,FWD,,225,,,,,eng,Europe,Italy,,,5,L,4,,,6.600,17.500,14.400,154.5,140.9,336.2,1.07,1.02,10.900,11701,,13-Oct-11,FM7,FM4,,,FM7,,FM6,FH2,DLC,,DLC,,,,5,XBO,0
FALSE,2011 Alfa Romeo TZ3 Stradale Zagato,,,2011,Alfa Romeo,TZ3 Stradale Zagato,,,,,,,,Sports,Factory,S,664,,,,,,,640,584,3190,4.98,,8400,NA,V,10,F,RWD,,,,,,,stock,Europe,Italy,,,2,L,4,,,,,,,,,,,,12008,,02-Apr-13,FH1,FH1,,,,,,,,DLC,,,,,1,360,0
FALSE,2010 Alfa Romeo 8C Spider,,,2010,Alfa Romeo,8C Spider,,,,,,,,Open Top,Factory,A,556,,,,,,,450,354,3695,8.21,,,NA,Inline,8,F,RWD,,,,,,,,Europe,Italy,,Yes,2,L,4,,,,,,,,,,,,11952,,23-Oct-12,FH1,FH1,,,,,,,,DLC,,,,,1,360,0
FALSE,2009 Alfa Romeo Brera Italia Independent,,,2009,Alfa Romeo,Brera Italia Independent,,,,,,,,Hatch,Factory,D,347,,,,,,,256,237,3594,14.04,,,,V,6,F,AWD,,,,,,,,Europe,Italy,,,2,L,4,,,7.000,,,147.4,,,,,,11459,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Alfa Romeo MiTo,,,2008,Alfa Romeo,MiTo,,,,,,,,Hatch,Factory,D,292,,,,,,,153,169,2524,16.50,,,,Inline,4,F,FWD,,,,,,,,Europe,Italy,,,2,L,4,,,7.700,,,137.1,,,,,,11461,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2007 Alfa Romeo 8C Competizione,Alfa Romeo 8C,1032,2007,Alfa Romeo,8C Competizione,Seasonal,Series 24 cu,,,"300,000",Epic,,GT Cars,Factory,A,755,7.0,5.3,5.4,5.5,4.9,5.2,450,354,3495,7.77,49,4691,NA,V,8,F,RWD,,285,Both,Forza,"510, 602, 805, 562V8",CS,stock,Europe,Italy,,,2,L,4,,CS,4.200,9.300,,193.4,124.6,305.0,0.97,1.03,5.100,11458,31-Aug-23,27-Oct-09,FH5,FM3,cu,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,,,10,XBO,1
FALSE,2007 Alfa Romeo 8C Competizione Forza Edition,Alfa Romeo 8C FE,,2007,Alfa Romeo,8C Competizione Forza Edition,Exclusive,,,,"550,000",FE,Credits,GT Cars,Upgraded,S1,855,7.5,8.4,8.0,9.4,8.6,,450,354,3086,6.86,49,4691,NA,V,8,F,RWD,,285,Both,Forza,"510, 602",CS,stock,Europe,Italy,,,2,L,4,,CS,4.200,9.300,,194.6,134.7,302.6,1.34,1.46,5.100,12951,,28-Sep-18,FH4,FH4,,FE,,,,,,,,,,,1,XBO,0
FALSE,1992 Alfa Romeo 155 Q4 ,Alfa Romeo 155,1393,1992,Alfa Romeo,155 Q4 ,"Backstage, Seasonal",Series 24 cu,,,"250,000",Common,,Retro Saloons,Factory,C,561,5.4,4.4,4.0,4.3,2.9,5.7,187,219,3064,16.39,61,1995,T,Inline,4,F,AWD,,205,Both,Aftermarket,"300, 375, 450, 805, 360, 506",none,no,Europe,Italy,,,4,L,4,,RPC,6.700,18.619,,147.2,149.6,381.3,0.87,0.86,11.919,11857,17-Aug-23,07-Feb-12,FH5,FM4,cu,cu,FM7,FH3,FM6,,,,DLC,,,,6,XBO,1
FALSE,1992 Alfa Romeo Milano Quadrifoglio Verde,Alfa Milano,,1992,Alfa Romeo,Milano Quadrifoglio Verde,,,,,,,,Early Sport Touring,Factory,E,291,5.1,4.0,6.0,,3.9,,185,181,2866,15.49,51,2959,NA,V,6,F,RWD,,,,,,,stock,Europe,Italy,,,4,L,4,,RPC,8.122,21.596,15.988,134.3,148.0,367.1,1.00,0.95,13.474,12429,,28-Jan-16,FM7,FM6,,,FM7,FH3,DLC,,,,,,,,3,XBO,0
FALSE,1990 Alfa Romeo SZ Sprint Zagato,Alfa Romeo SZ,,1990,Alfa Romeo,SZ Sprint Zagato,,,,,,,,Early Sport Touring,Factory,D,369,5.7,4.7,6.4,,4.4,,207,181,2778,13.42,56,,NA,V,6,F,RWD,,,,,,,stock,Europe,Italy,,,2,L,4,,,7.000,18.700,14.817,152.6,138.6,344.1,1.09,1.07,11.700,12097,,30-May-14,FM7,FM5,,,FM7,,FM6,,DLC,,,,,,3,XBO,0
FALSE,1986 Alfa Romeo GTV-6,Alfa Romeo GTV-6,,1986,Alfa Romeo,GTV-6,,,,,,,,Early Sport Touring,Factory,E,276,4.9,4.0,5.7,,3.9,,155,157,2840,18.32,51,2500,NA,V,6,F,RWD,,,,,,,stock,Europe,Italy,,,2LB,L,4,,,9.100,25.200,16.800,131.4,143.5,364.7,1.00,0.96,16.100,11867,,06-Mar-12,FM7,FM4,,,FM7,,FM6,,DLC,,DLC,,,,4,XBO,0
FALSE,1986 Alfa Romeo Spider Quadrifoglio Verde,Alfa Spider,,1986,Alfa Romeo,Spider Quadrifoglio Verde,,,,,,,,Sport Compact Icons,Factory,E,259,4.6,4.2,5.3,,3.9,,115,119,2549,22.17,56,1962,NA,Inline,4,F,RWD,,,,,,,stock,Europe,Italy,,Yes,2,L,4,,,9.800,36.700,17.017,121.6,143.0,357.8,1.02,0.97,26.900,11835,,06-Dec-11,FM7,FM4,,,FM7,,FM6,FH2,DLC,,DLC,,,,5,XBO,0
FALSE,1970 Alfa Romeo Montreal,Alfa Montreal,,1970,Alfa Romeo,Montreal,,,,,,,,Vintage Sport GT,Factory,E,288,5.5,4.0,5.9,,3.7,,200,174,2810,14.05,55,2600,NA,V,8,F,RWD,,,,,,,stock,Europe,Italy,,,2,L,4,,,8.000,21.200,15.550,146.8,135.5,347.8,0.99,0.96,13.200,11845,,03-Jan-12,FM7,FM4,,,FM7,,,,,,DLC,,,,2,XBO,0
FALSE,1968 Alfa Romeo 33 Stradale,Alfa Romeo 33S,1549,1968,Alfa Romeo,33 Stradale,Autoshow,Series 24 cu,,,"15,000,000",Legendary,,Classic Racers,Factory,A,707,6.2,4.4,5.7,5.7,3.6,5.0,245,148,1543,6.30,40,1995,NA,V,8,M,RWD,,315,Both,Forza,"300, 375, 475(3L)",TT,stock,Europe,Italy,,,2,L,4,,"OR, CS, HR",5.500,11.800,,170.9,145.0,359.1,0.95,0.94,6.300,11935,15-Aug-23,04-Sep-12,FH5,FM4,cu,FH4,FM7,FH3,FM6,FH2,DLC,,DLC,,,,8,XBO,1
FALSE,1965 Alfa Romeo Giulia Sprint GTA Stradale,Alfa Romeo GTA,1150,1965,Alfa Romeo,Giulia Sprint GTA Stradale,Autoshow,Series 24 cu,,,"300,000",Rare,,Rare Classics,Factory,D,486,4.0,3.7,3.7,3.2,2.8,5.3,115,105,1676,14.57,54,1570,NA,Inline,4,F,RWD,,165,Both,Forza,"321, 212, 300, 375","T, CS",stock,Europe,Italy,,,2,L,4,,,7.882,23.981,,114.2,164.8,406.2,0.81,0.80,16.099,11460,15-Aug-23,27-Oct-09,FH5,FM3,cu,FH4,FM7,FH3,FM6,,FM5,,FM4,DLC,,,8,XBO,1
FALSE,1965 Alfa Romeo Giulia TZ2,Alfa Romeo TZ2,2161,1965,Alfa Romeo,Giulia TZ2,Autoshow,Series 24 cu,,,"4,000,000",Legendary,,Classic Racers,Race,B,641,5.5,3.9,4.1,3.4,3.4,5.3,170,130,1367,8.04,54,1570,NA,Inline,4,F,RWD,,245,Both,Forza,"321, 300, 375, 475(3L)",T,stock,Europe,Italy,,,2,L,4,,"CS, HR",5.803,13.312,,152.5,157.0,378.9,0.92,0.93,7.509,12151,15-Aug-23,30-Sep-14,FH5,FH2,cu,FH4,FM7,FH3,FM6,FH2,,,,,,,6,XBO,1
FALSE,1958 Alfa Romeo Giulietta Sprint Veloce,Giulietta '58,,1958,Alfa Romeo,Giulietta Sprint Veloce,,,,,,,,Vintage Sport Compact,Factory,E,228,4.1,3.6,5.2,,3.3,,90,97,1874,20.82,54,,NA,Inline,4,F,RWD,,155,,,,,stock,Europe,Italy,,,2,L,4,,,10.518,36.500,17.333,110.7,137.8,349.2,0.95,0.87,25.982,12893,,02-Jul-18,FM7,FM7,,,DLC,,,,,,,,,,1,XBO,0
FALSE,1950 Alfa Romeo 158,Alfa Romeo 158,,1950,Alfa Romeo,158,,,,,,,,The Birth of Grand Prix,Race,B,574,6.1,4.9,8.2,,4.5,,384,286,1568,4.08,52,,PDS,Inline,8,F,RWD,,,,,,,no,Europe,Italy,,Yes,1,C,4,,,4.117,8.900,12.083,165.4,106.5,277.8,1.13,1.12,4.783,12752,,29-Sep-17,FM7,FM7,,,FM7,,,,,,,,,,1,XBO,0
FALSE,1934 Alfa Romeo P3,Alfa Romeo P3,,1934,Alfa Romeo,P3,Exclusive,,,,"10,000,000",Legendary,,Vintage Racers,Race,B,626,6.6,5.0,5.6,7.1,4.9,,285,300,1653,5.80,50,3165,PDS,Inline,8,F,RWD,,145,no,none,510,none,no,Europe,Italy,,Yes,1,C,4,x,HR,4.489,9.200,12.067,157.9,187.7,461.7,0.74,0.73,4.711,12437,,15-Mar-16,FH4,FM6,,Castle,FM7,,DLC,,,,,,,,3,XBO,0
FALSE,1932 Alfa Romeo 8C 2300 Spider,Alfa 8C '32,,1932,Alfa Romeo,8C 2300 Spider,,,,,,,,The Birth of Grand Prix,Race,E,290,4.4,4.2,6.5,,4.2,,155,173,2185,14.10,52,,PDS,Inline,8,F,RWD,,,,,,,no,Europe,Italy,,Yes,1,R,4,,,9.000,23.000,14.700,120.5,116.5,295.6,1.02,0.98,14.000,12877,,05-Mar-18,FM7,FM7,,,DLC,,,,,,,,,,1,XBO,0
FALSE,2017 Alpine A110,Alpine A110 '17,2973,2017,Alpine,A110,"Backstage, WS, Seasonal",,,,"67,500",Epic,,Modern Sports Cars,Factory,B,694,6.0,6.4,5.4,5.7,4.2,4.2,248,236,2432,9.81,44,1798,T,Inline,4,M,RWD,,235,Both,Forza,300,none,no,Europe,France,,,2,L,4,,,4.300,11.600,,164.0,138.1,339.9,0.98,1.06,7.300,13122,05-Nov-21,12-Dec-19,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO,1
FALSE,1973 Alpine A110 1600s,Renault A110,1536,1973,Alpine,A110 1600s,Autoshow,,,,"98,000",Rare,,Classic Rally,Factory,C,550,5.0,4.4,4.1,3.1,3.0,5.3,123,106,1576,12.81,40,1605,NA,Inline,4,R,RWD,,165,no,Sport,"212, 305, 300","T, PDS",stock,Europe,France,,,2,L,4,,,6.975,20.663,15.033,138.0,160.4,397.8,0.84,0.83,13.688,12152,05-Nov-21,30-Sep-14,FH5,FH2,FH5,FH4,FM7,FH3,FM6,FH2,,,,,,,6,XBO,1
FALSE,2022 Alumicraft #6165 Trick Truck,#6165 Truck,3693,2022,Alumicraft,#6165 Trick Truck,DLC,FH5 Rally Adv,,,"500,000",Epic,,Unlimited Offroad,Race,C,596,4.4,3.0,3.6,2.6,5.0,9.3,430,430,5750,13.37,47,6162,NA,V,8,F,RWD,,315,no,none,"800, 850",none,stock,N. America,U.S.,,,2,L,4,,,4.882,13.679,,120.2,129.3,317.8,0.85,0.84,8.797,13339,29-Mar-23,29-Mar-23,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2021 Alumicraft #122 Class 1 Buggy,#122 AC Class 1,3549,2021,Alumicraft,#122 Class 1 Buggy,DLC,FH5 Rally Adv,,,"300,000",Epic,,Unlimited Buggies,Race,B,689,4.9,2.8,6.4,5.3,5.3,9.2,495,450,3750,7.58,38,6162,NA,V,8,R,RWD,,315,no,none,"800, 850",none,stock,N. America,U.S.,,,2,L,4,,,2.792,7.397,,134.6,130.1,322.8,0.89,0.89,4.605,13340,29-Mar-23,29-Mar-23,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2015 Alumicraft Class 10 Race Car,Alumi Craft C.10,2552,2015,Alumicraft,Class 10 Race Car,"Autoshow, WS",,,,"300,000",Epic,,Unlimited Buggies,Race,B,642,4.4,3.8,5.0,4.1,4.8,10.0,196,190,2200,11.22,45,2384,NA,Inline,4,R,RWD,,265,no,none,300,none,stock,N. America,U.S.,,side,2,L,4,,,5.079,16.433,14.367,121.9,132.6,326.9,0.91,0.91,11.354,12551,05-Nov-21,23-Sep-16,FH5,FH3,FH5,FH4,FM7,FH3,,,,,,,,,4,XBO,1
