"","Year Make Model","Nickname","Ordinal","Votes","Topic","Tags","Link","Year","Make","Model","Special Access","DLC Pack","Car Type","Spec","Class","PI","Aspiration","Engine","Cylinders","Eng","Drive","Region","Country","Model Family","Open Top","Doors","Steering","Wheels","FH5 Debut","Forza Debut","New to Forza","FH5","FH4","FM7","FH3","FM6","FH2","FM5","FH1","FM4","FM3","FM2","FM1","# Titles",""
"FALSE","1957 Hot Wheels Nash Metropolitan Custom","Hot Wheels Metro","3407","","","","","1957","Hot Wheels","Nash Metropolitan Custom","Backstage, WS, Seasonal","Series 9 cu","Rods and Customs","Tuner","B","631","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","14-Jul-22","22-Feb-21","FH4","cu","DLC","","","","","","","","","","","2",""
"FALSE","1958 Aston Martin DBR1","AM DBR1","1386","32","Aston Martin DBR1 1958","Aston-Martin, fh5-roster, fm-roster, racing-vehicles","https://forums.forza.net/t/-/557840","1958","Aston Martin","DBR1","Autoshow","Series 28 cu","Classic Racers","Race","B","678","NA","Inline","6","F","RWD","Europe","U.K.","","Yes","2","R","4","05-Dec-23","14-Oct-11","FM4","cu","FH4","FM7","","FM6","FH2","DLC","FH1","FM4","","","","8",""
"FALSE","1958 Plymouth Fury","Plymouth Fury","2216","45","Plymouth Belvedere 1957-1959 (Plymouth Fury)","Plymouth","https://forums.forza.net/t/-/560750","1958","Plymouth","Fury","Seasonal","Series 15 cu","Rods and Customs","Factory","D","477","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","15-Dec-22","01-Dec-15","FM6","cu","cu","FM7","FH3","DLC","","","","","","","","5",""
"FALSE","1961 DeBerti Ford Econoline 'Shop Rod'","DeBerti Shop Rod","3438","21","Ford Econoline 1967-1974","Ford","https://forums.forza.net/t/-/558937","1961","DeBerti","Ford Econoline 'Shop Rod'","DLC Autoshow","FH5 American Auto","Rods and Customs","Tuner","A","799","PDS","V","8","M","RWD","N. America","U.S.","","","","R","4","07-Nov-23","07-Nov-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1962 Ferrari 250 GT Berlinetta Lusso","Ferrari 250 GT","1578","65","Ferrari 250 GT Berlinetta SWB 1959-1962","coupes, Ferrari, sports-cars","https://forums.forza.net/t/-/558725","1962","Ferrari","250 GT Berlinetta Lusso","Autoshow","Series 7 cu","Rare Classics","Factory","C","590","NA","V","12","F","RWD","Europe","Italy","","","2","L","4","28-Apr-22","30-Sep-14","FH2","cu","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","1962 Lincoln Continental","Continental '62","1586","115","Lincoln Continental 1962","fh5-roster, Lincoln","https://forums.forza.net/t/-/559867","1962","Lincoln","Continental","Backstage, Seasonal","Series 27 cu","Rods and Customs","Factory","D","381","NA","V","8","F","RWD","N. America","U.S.","","","4","L","4","30-Nov-23","07-Aug-12","FM4","cu","","","","","","","","DLC","","","","2",""
"FALSE","1962 Peel P50","Peel P50","2987","10","Peel P50 1962-1965","Peel","https://forums.forza.net/t/-/639073","1962","Peel","P50","Backstage, Seasonal","Series 2 cu","Cult Cars","Factory","D","100","NA","Single","1","M","RWD","Europe","U.K.","","","1","C","3","01-Jan-22","28-Sep-18","FH4","cu","Barn","","","","","","","","","","","2",""
"FALSE","1964 Plymouth Belvedere","Belvedere '64","3244","21","Plymouth Belvedere 1964","fh5-roster, Plymouth","https://forums.forza.net/t/-/560751","1964","Plymouth","Belvedere","Seasonal","Series 27 cu","Classic Muscle","Factory","C","529","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","09-Nov-23","09-Nov-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1964 Porsche 356 C Cabriolet Emory Special","Emory 356 C '64","3150","55","Porsche 356 1948-1965","coupes, fh5-roster, open-top-cars, Porsche, sports-cars","https://forums.forza.net/t/-/560826","1964","Porsche","356 C Cabriolet Emory Special","Seasonal","Series 10 cu","Classic Sports Cars","Tuner","B","651","NA","Flat","4","R","RWD","Europe","Germany","","","2","L","4","19-Jul-22","13-Jan-20","FH4","cu","cu","","","","","","","","","","","2",""
"FALSE","1965 Alfa Romeo Giulia Sprint GTA Stradale","Alfa Romeo GTA","1150","99","Alfa Romeo Giulia 1962-1978 (Tipo 105 and 115 - stradale versions)","Alfa-Romeo, fh5-roster","https://forums.forza.net/t/-/557746","1965","Alfa Romeo","Giulia Sprint GTA Stradale","Autoshow","Series 24 cu","Rare Classics","Factory","D","486","NA","Inline","4","F","RWD","Europe","Italy","","","2","L","4","15-Aug-23","27-Oct-09","FM3","cu","FH4","FM7","FH3","FM6","","FM5","","FM4","DLC","","","8",""
"FALSE","1965 Alfa Romeo Giulia TZ2","Alfa Romeo TZ2","2161","","","","","1965","Alfa Romeo","Giulia TZ2","Autoshow","Series 24 cu","Classic Racers","Race","B","641","NA","Inline","4","F","RWD","Europe","Italy","","","2","L","4","15-Aug-23","30-Sep-14","FH2","cu","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","1965 DeBerti Chevrolet C10 'Slayer'","C10 Slayer '65","3896","30","Deberti Chevrolet C10 Slayer 1965","Chevrolet, custom-builds, DeBerti, fh5-roster, pickup-trucks","https://forums.forza.net/t/-/644793","1965","DeBerti","Chevrolet C10 'Slayer'","Backstage, Seasonal","Series 41 cu","Rods and Customs","Tuner","S1","802","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","6","02-Jan-25","02-Jan-25","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1965 MINI Cooper S Forza Edition","Mini '65 FE","2699","","","","","1965","MINI","Cooper S Forza Edition","Seasonal","Series 5 cu","Super Hot Hatch","Upgraded","A","800","E","E","","F","AWD","Europe","U.K.","","","2","R","4","03-Mar-22","29-Sep-17","FM7","cu","","FE","","","","","","","","","","2",""
"FALSE","1965 Morris Mini-Traveller","Morris Traveller","3142","5","Morris Mini-Traveller 1960-1969","MINI, Morris","https://forums.forza.net/t/-/638802","1965","Morris","Mini-Traveller","Seasonal","Series 14 cu","Vans & Utility","Factory","D","100","NA","Inline","4","F","FWD","Europe","U.K.","","","3","R","4","17-Nov-22","07-May-19","FH4","cu","cu","","","","","","","","","","","2",""
"FALSE","1965 Peel Trident","Peel Trident","1309","8","Peel Trident 1965-1966","coupes, fh5-roster, Peel","https://forums.forza.net/t/-/662848","1965","Peel","Trident","Autoshow","Series 2 cu","Cult Cars","Factory","D","100","NA","Single","1","M","RWD","Europe","U.K.","","","1","R","3","30-Dec-21","06-Dec-18","FH4","cu","DLC","","","","","","","","","","","2",""
"FALSE","1965 Toyota Sports 800","Sports 800 '65","2469","34","Toyota Sports 800 1965-1969","fh5-roster, Toyota","https://forums.forza.net/t/-/561489","1965","Toyota","Sports 800","Seasonal","Series 17 cu","Classic Sports Cars","Factory","D","246","NA","Flat","2","F","RWD","Asia","Japan","","","2","L","4","23-Feb-23","23-Feb-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1966 Chevrolet Nova Super Sport","Chevy Nova '66","1354","37","Chevrolet Nova 1966","Chevrolet, fh5-roster","https://forums.forza.net/t/-/558373","1966","Chevrolet","Nova Super Sport","Backstage, Seasonal","Series 27 cu","Classic Muscle","Factory","C","554","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","16-Nov-23","13-Oct-11","FM4","cu","FH4","FM7","FH3","FM6","","DLC","","DLC","","","","7",""
"FALSE","1966 Fast and Furious Chevrolet Impala Super Sport 'Fast X'","FAF Impala","3835","231","Chevrolet Impala 1965-1970","Chevrolet, coupes, open-top-cars, sedans, wagons","https://forums.forza.net/t/-/558342","1966","Fast and Furious","Chevrolet Impala Super Sport 'Fast X'","DLC Autoshow","FH5 Fast X","Track Toys","Tuner","S1","836","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Dec-23","05-Dec-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1966 Jaguar XJ13","Jaguar XJ13","3415","35","Jaguar XJ13 1966","fh5-roster, Jaguar, racing-vehicles, sportscar-racing, WSC-racing","https://forums.forza.net/t/-/559598","1966","Jaguar","XJ13","DLC Autoshow","FH5 Car Pass","Classic Racers","Factory","A","779","NA","V","12","M","RWD","Europe","U.K.","","Yes","2","R","4","06-Jan-22","06-Jan-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1966 Oldsmobile Toronado","Toronado '66","3201","16","Oldsmobile Toronado 1966-1970","Oldsmobile","https://forums.forza.net/t/-/638996","1966","Oldsmobile","Toronado","DLC Autoshow","FH5 Car Pass","Classic Muscle","Factory","D","403","NA","V","8","F","FWD","N. America","U.S.","","","2","L","4","31-Mar-22","31-Mar-22","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1966 Porsche 906 Carrera 6","Porsche 906 '66","3021","42","Porsche 906 Carrera 6 1966","fh5-roster, Porsche","https://forums.forza.net/t/-/579393","1966","Porsche","906 Carrera 6","Autoshow","Series 28 cu","Classic Racers","Factory","A","732","NA","Flat","6","M","RWD","Europe","Germany","","","2","L","4","05-Dec-23","19-Apr-18","FM7","cu","cu","DLC","","","","","","","","","","3",""
"FALSE","1966 Volkswagen Double Cab Pick-Up","VW DOKA '66","3078","40","Volkswagen Double Cab Pick-Up 1966","fh5-roster, pickup-trucks, Volkswagen","https://forums.forza.net/t/-/561748","1966","Volkswagen","Double Cab Pick-Up","Backstage, Seasonal","Series 31 cu","Vans & Utility","Factory","D","100","NA","Flat","4","R","RWD","Europe","Germany","","","2","L","4","21-Mar-24","10-Jan-19","FH4","cu","DLC","","","","","","","","","","","2",""
"FALSE","1967 Mercedes-Benz 280 SL","M-B 280 SL","1619","50","Mercedes 280 (W113) SL 1967","fh5-roster, Mercedes","https://forums.forza.net/t/-/560108","1967","Mercedes-Benz","280 SL","Backstage, Seasonal","Series 29 cu","Rare Classics","Factory","D","478","NA","Inline","6","F","RWD","Europe","Germany","","Yes","2","L","4","18-Jan-24","15-Mar-16","FM6","cu","cu","FM7","FH3","DLC","","","","","","","","5",""
"FALSE","1967 Renault 8 Gordini","Renault 8","3395","16","Renault 8 1962-1973 (Renault 10)","fh5-roster, fm-roster, Renault","https://forums.forza.net/t/-/560952","1967","Renault","8 Gordini","DLC Autoshow","FH5 Car Pass","Classic Rally","Factory","D","435","NA","Inline","4","F","FWD","Europe","France","","","4","L","4","25-Nov-21","25-Nov-21","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1967 Shelby GT 500","Shelby GT500 '67","3696","535","Shelby GT500 1967","coupes, fh5-roster, Ford, Shelby","https://forums.forza.net/t/-/561163","1967","Shelby","GT 500","DLC Autoshow","FH5 Acceleration","Classic Muscle","Factory","C","577","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","26-Mar-24","26-Mar-24","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1968 Abarth 595 esseesse","Abarth 595 '68","2017","65","Fiat 500 1957-1975 (and Abarth editions)","Abarth-Fiat, fh5-roster","https://forums.forza.net/t/-/558850","1968","Abarth","595 esseesse","Autoshow","Series 24 cu","Cult Cars","Factory","D","100","NA","Inline","2","R","RWD","Europe","Italy","","","2","R","4","15-Aug-23","23-Oct-12","FH1","cu","FH4","FM7","FH3","FM6","DLC","","FH1","","","","","7",""
"FALSE","1968 Alfa Romeo 33 Stradale","Alfa Romeo 33S","1549","116","Alfa Romeo 33 Stradale 1967-1969","Alfa-Romeo, fh5-roster","https://forums.forza.net/t/-/566870","1968","Alfa Romeo","33 Stradale","Autoshow","Series 24 cu","Classic Racers","Factory","A","707","NA","V","8","M","RWD","Europe","Italy","","","2","L","4","15-Aug-23","04-Sep-12","FM4","cu","FH4","FM7","FH3","FM6","FH2","DLC","","DLC","","","","8",""
"FALSE","1968 Lancia Fulvia Coupe Rallye 1.6 HF","Lancia Fulvia","1585","187","Lancia Fulvia Coupe Rallye 1.6 HF 1968","coupes, fh5-roster, Lancia, sports-cars","https://forums.forza.net/t/-/559789","1968","Lancia","Fulvia Coupe Rallye 1.6 HF","Backstage, Seasonal","Series 31 cu","Classic Rally","Factory","C","526","NA","V","4","F","FWD","Europe","Italy","","","2","L","4","29-Feb-24","30-Sep-14","FH2","cu","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","1968 Plymouth Barracuda Formula-S","Barracuda","281","50","Plymouth Barracuda 1967-1969","coupes, fh5-roster, muscle-cars, open-top-cars, Plymouth","https://forums.forza.net/t/-/560746","1968","Plymouth","Barracuda Formula-S","Seasonal","Series 9 cu","Classic Muscle","Factory","C","550","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","30-Jun-22","29-May-07","FM2","cu","","","","","","","","FM4","FM3","FM2","","4",""
"FALSE","1968 Pontiac Firebird","Firebird '68","1338","137","Pontiac Firebird 1968","fh5-roster, Pontiac","https://forums.forza.net/t/-/560792","1968","Pontiac","Firebird","Seasonal","Series 27 cu","Classic Muscle","Factory","C","533","NA","V","8","F","RWD","N. America","U.S.","Firebird","","2","L","4","16-Nov-23","13-Oct-11","FM4","cu","cu","","","","","","","DLC","","","","3",""
"FALSE","1969 Chevrolet Camaro Jordan Luka 3 Forza Edition","Camaro ME '69","3972","","","","","1969","Chevrolet","Camaro Jordan Luka 3 Forza Edition","Autoshow","","Track Toys","Tuner","A","800","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","10-Sep-24","10-Sep-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1969 Dodge Charger R/T Forza Edition","Charger '69 FE","3561","42","Dodge Charger R/T F&F F7 1970-1970","Dodge, Fast-Furious, fh5-roster","https://forums.forza.net/t/-/558604","1969","Dodge","Charger R/T Forza Edition","DLC Autoshow","FH5 VIP","Track Toys","Upgraded","S1","900","NA","V","8","F","RWD","N. America","U.S.","Charger","","2","L","4","05-Nov-21","05-Nov-21","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1969 FIAT Dino 2.4 Coupe","FIAT Dino","1615","24","Fiat Dino 1966-1973","Abarth-Fiat","https://forums.forza.net/t/-/637431","1969","FIAT","Dino 2.4 Coupe","Backstage, Seasonal","Series 29 cu","Classic Sports Cars","Factory","D","498","NA","V","6","F","RWD","Europe","Italy","","","2","L","4","25-Jan-24","15-Mar-16","FM6","cu","cu","FM7","FH3","DLC","","","","","","","","5",""
"FALSE","1969 Pontiac GTO Judge","Pontiac GTO '69","1309","150","Pontiac GTO Judge 1969","fh5-roster, fm-roster, Pontiac","https://forums.forza.net/t/-/560806","1969","Pontiac","GTO Judge","Backstage, Seasonal","Series 27 cu","Classic Muscle","Factory","C","545","NA","V","8","F","RWD","N. America","U.S.","GTO","","2","L","4","23-Nov-23","14-Oct-11","FM4","cu","FH4","FM7","FH3","FM6","FH2","FM5","FH1","FM4","","","","9",""
"FALSE","1970 AMC Rebel ""The Machine""","AMC Rebel","1572","14","AMC Rebel 1967-1970 (""The Machine"")","AMC, fh5-roster, fm-roster","https://forums.forza.net/t/-/575913","1970","AMC","Rebel ""The Machine""","Seasonal","Series 15 cu","Classic Muscle","Factory","C","531","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","29-Dec-22","05-May-15","FH2","cu","cu","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","1970 Dodge Coronet Super Bee","Dodge Super Bee","1352","97","Dodge Coronet 1965-1970","coupes, Dodge, fh5-roster, muscle-cars, sedans","https://forums.forza.net/t/-/558611","1970","Dodge","Coronet Super Bee","Backstage, Seasonal","Series 9 cu","Classic Muscle","Factory","C","566","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","07-Jul-22","13-Oct-11","FM4","cu","","FM7","","FM6","","DLC","","DLC","","","","5",""
"FALSE","1970 Fast and Furious Dodge Charger 'Fast X'","FAF Charger","3837","101","Dodge Charger 1968-1970","coupes, Dodge, fh5-roster, muscle-cars","https://forums.forza.net/t/-/558594","1970","Fast and Furious","Dodge Charger 'Fast X'","DLC Autoshow","FH5 Fast X","Classic Muscle","Tuner","S1","855","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Dec-23","05-Dec-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1970 Ferrari 512 S","Ferrari 512S","3062","32","Ferrari 512 S 1970","Ferrari, fh5-roster, racing-vehicles","https://forums.forza.net/t/-/572587","1970","Ferrari","512 S","Autoshow","Series 28 cu","Classic Racers","Race","S1","861","NA","V","12","M","RWD","Europe","Italy","","","2","R","4","05-Dec-23","19-Nov-19","FH4","cu","cu","","","","","","","","","","","2",""
"FALSE","1970 Hot Wheels Pontiac Firebird Trans Am Custom","HW Trans Am","3706","","","","","1970","Hot Wheels","Pontiac Firebird Trans Am Custom","Seasonal","Series 23 cu","Track Toys","Tuner","S1","894","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","27-Jul-23","27-Jul-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1970 Mercury Cyclone Spoiler","Mercury Cyclone","3206","15","Mercury Cyclone 1970-1971","fh5-roster, Mercury, muscle-cars, open-top-cars","https://forums.forza.net/t/-/638664","1970","Mercury","Cyclone Spoiler","DLC Autoshow","FH5 Car Pass","Classic Muscle","Factory","D","491","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","02-Dec-21","02-Dec-21","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1971 AMC Javelin AMX","AMC Javelin","1267","42","AMC Javelin 1971-1974","AMC, fh5-roster, fm-roster","https://forums.forza.net/t/-/557793","1971","AMC","Javelin AMX","Seasonal","Series 15 cu","Classic Muscle","Factory","D","493","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","08-Dec-22","14-Dec-10","FM3","cu","FH4","FM7","FH3","FM6","FH2","FM5","DLC","FM4","DLC","","","10",""
"FALSE","1971 Ford Mustang Mach 1","Ford Mustang '71","3120","133","Ford Mustang 1965-1973 (Gen1)","coupes, fh5-roster, Ford, muscle-cars, open-top-cars","https://forums.forza.net/t/-/559111","1971","Ford","Mustang Mach 1","Seasonal","Series 3 cu","Classic Muscle","Factory","C","546","NA","V","8","F","RWD","N. America","U.S.","Mustang","","2","L","4","20-Jan-22","14-Oct-11","FM4","cu","FH4","FM7","","FM6","","DLC","","FM4","","","","6",""
"FALSE","1971 Porsche #23 917/20","#23 Porsche 917","2869","30","Porsche 917 1969-1973","fh5-roster, fm7-roster, Porsche, racing-vehicles, sportscar-racing, WSC-racing","https://forums.forza.net/t/-/657379","1971","Porsche","#23 917/20","Autoshow","Series 10 cu","Classic Racers","Race","S1","849","NA","Flat","12","M","RWD","Europe","Germany","","","2","R","4","19-Jul-22","10-Jul-18","FM7","cu","FH4","cu","","","","","","","","","","3",""
"FALSE","1972 Chevrolet K10 Custom","Chevy K10 '72","3590","85","Chevrolet K-10 1972","Chevrolet, fh5-roster","https://forums.forza.net/t/-/558265","1972","Chevrolet","K10 Custom","Seasonal","Series 21 cu","Pickups & 4x4s","Factory","D","369","NA","V","8","F","AWD","N. America","U.S.","","","2","L","4","08-Jun-23","08-Jun-23","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1973 Fast and Furious Datsun 240Z 'Fast X'","FAF 240Z","3832","74","Nissan Fairlady Z 1969-1978 (S30; Datsun 240Z, 260Z, 280Z)","coupes, Datsun, fh5-roster, Nissan, sports-cars","https://forums.forza.net/t/-/558536","1973","Fast and Furious","Datsun 240Z 'Fast X'","DLC Autoshow","FH5 Fast X","Classic Sports Cars","Tuner","S1","838","T","Inline","6","F","RWD","N. America","U.S.","","","2","L","4","05-Dec-23","05-Dec-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1973 Ford XB Falcon GT","Ford XB Falcon","1278","23","Ford Falcon 1972-1979 (XA/XB/XC)","coupes, Ford, pickup-trucks, sedans, wagons","https://forums.forza.net/t/-/645101","1973","Ford","XB Falcon GT","Backstage, Seasonal","Series 23 cu","Classic Muscle","Factory","C","532","NA","V","8","F","RWD","N. America","U.S.","","","2","R","4","20-Jul-23","14-Oct-11","FM4","cu","HTF","FM7","FH3","FM6","","DLC","","FM4","","","","7",""
"FALSE","1973 Hoonigan Volkswagen Baja Beetle Class 5/1600 'Scumbug'","Hoonigan Scumbug","3553","13","Volkswagen Beetle Baja Bug racing (Hoonigan Scumbug)","fh5-roster, Hoonigan, racing-vehicles, Volkswagen","https://forums.forza.net/t/-/587568","1973","Hoonigan","Volkswagen Baja Beetle Class 5/1600 'Scumbug'","DLC","FH5 Rally Adv","Buggies","Race","C","524","NA","Inline","4","R","RWD","N. America","U.S.","","","2","L","4","29-Mar-23","29-Mar-23","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1973 Lamborghini Espada 400 GT","Espada 400GT '73","3191","","","","","1973","Lamborghini","Espada 400 GT","DLC Autoshow","FH5 Car Pass","Retro Supercars","Factory","C","597","NA","V","12","F","RWD","Europe","Italy","","","2","L","4","23-Dec-21","23-Dec-21","FH5","DLC","","","","","","","","","","","","1",""
"FALSE","1973 Pontiac Firebird Trans Am SD-455","Pontiac T/A '73","1005","88","Pontiac Firebird Trans Am 1973 & 1977","fh5-roster, Pontiac","https://forums.forza.net/t/-/573930","1973","Pontiac","Firebird Trans Am SD-455","Seasonal","Series 23 cu","Classic Muscle","Factory","C","551","NA","V","8","F","RWD","N. America","U.S.","Firebird","","2","L","4","10-Aug-23","07-Dec-07","FM2","cu","FH4","FM7","FH3","FM6","FH2","FM5","","FM4","FM3","DLC","","10",""
"FALSE","1973 Volkswagen Thing","VW Thing '73","3020","55","Volkswagen Thing 1973","fh5-roster, open-top-cars, other-vehicles, Volkswagen","https://forums.forza.net/t/-/561737","1973","Volkswagen","Thing","Seasonal","Series 36 cu","Cult Cars","Factory","D","100","NA","Flat","4","R","RWD","Europe","Germany","","no","4","L","4","08-Aug-24","16-Jul-24","FH5","cu","","","","","","","","","","","","1",""
"FALSE","1974 Lancia Stratos HF Stradale","Lancia Stratos","458","343","Lancia Stratos HF Stradale 1973-1978","fh5-roster, Lancia","https://forums.forza.net/t/-/559794","1974","Lancia","Stratos HF Stradale","Autoshow","Series 24 cu","Classic Rally","Factory","C","590","NA","V","6","M","RWD","Europe","Italy","","","2","L","4","15-Aug-23","03-May-05","FM1","cu","FH4","FM7","FH3","FM6","FH2","DLC","FH1","FM4","FM3","FM2","FM1","12",""
"FALSE","1975 DS Automobiles DS 23","DS 23","2432","130","Citroen DS 23 1975","Citroen-DS, fh5-roster, sedans","https://forums.forza.net/t/-/558479","1975","DS Automobiles","DS 23","Seasonal","Series 31 cu","Cult Cars","Factory","D","330","NA","Inline","4","F","FWD","Europe","France","","","4","L","4","07-Mar-24","05-May-21","FH4","cu","cu","","","","","","","","","","","2",""
"FALSE","1975 Forsberg Racing Nissan ""Gold Leader"" Datsun 280Z","Datsun 280Z","3529","","","","","1975","Forsberg Racing","Nissan ""Gold Leader"" Datsun 280Z","DLC Autoshow","FH5 Formula Drift","Retro Sports Cars","Race","A","791","T","Inline","6","F","RWD","N. America","U.S.","","","2","L","4","05-Nov-21","05-Nov-21","FH5","DLC","","","","","","","","","","","","1",""
